Span-GenomeRelease	Span-Chromosome	Span-BeginBp	Span-EndBp	Span-Strand	Span-Score	Span-Name	GeneI	AbsDistanceBp	DistanceBp	Overlaps	Gene-GenomeRelease	Gene-Chromosome	Gene-BeginBp	Gene-EndBp	Gene-Strand	Gene-Score	Gene-Name	Span-Pvalue	Span-FDR	Span-ContentTag
mm9	chr18	64348638	64348811		0	chr18-64348638	2	88110	88110	yes	mm9	chr18	64317377	64436834	-	1	NR_045366:1700091E21Rik			
mm9	chr18	64779541	64779757		0	chr18-64779541	1	41005	41005	yes	mm9	chr18	64688632	64820654	-	1	NM_001001488:Atp8b1			
mm9	chr18	64788125	64788356		0	chr18-64788125	1	32414	32414	yes	mm9	chr18	64688632	64820654	-	1	NM_001001488:Atp8b1			
mm9	chr18	64814872	64815055		0	chr18-64814872	1	5691	5691	yes	mm9	chr18	64688632	64820654	-	1	NM_001001488:Atp8b1			
mm9	chr18	64872540	64872742		0	chr18-64872540	1	51987	-51987	no	mm9	chr18	64688632	64820654	-	1	NM_001001488:Atp8b1			
mm9	chr18	65010173	65010387		0	chr18-65010173	1	37129	-37129	no	mm9	chr18	65047409	65377480	+	1	NM_001114386:Nedd4l			
mm9	chr18	65057713	65057912		0	chr18-65057713	1	10403	10403	yes	mm9	chr18	65047409	65377480	+	1	NM_001114386:Nedd4l			
mm9	chr18	65062226	65062378		0	chr18-65062226	1	14893	14893	yes	mm9	chr18	65047409	65377480	+	1	NM_001114386:Nedd4l			
mm9	chr18	65072025	65072200		0	chr18-65072025	1	24703	24703	yes	mm9	chr18	65047409	65377480	+	1	NM_001114386:Nedd4l			
mm9	chr18	65118744	65118933		0	chr18-65118744	1	64342	-64342	no	mm9	chr18	65183180	65377480	+	1	NM_031881:Nedd4l			
mm9	chr18	65118744	65118933		0	chr18-65118744	2	71429	71429	yes	mm9	chr18	65047409	65377480	+	1	NM_001114386:Nedd4l			
mm9	chr18	65204039	65204230		0	chr18-65204039	1	20954	20954	yes	mm9	chr18	65183180	65377480	+	1	NM_031881:Nedd4l			
mm9	chr18	65204039	65204230		0	chr18-65204039	2	156725	156725	yes	mm9	chr18	65047409	65377480	+	1	NM_001114386:Nedd4l			
mm9	chr18	65965210	65965393		0	chr18-65965210	1	5070	5070	yes	mm9	chr18	65960231	65977311	+	1	NM_025468:Sec11c			
mm9	chr18	66084843	66085070		0	chr18-66084843	1	13787	13787	no	mm9	chr18	66094292	66098743	-	1	NM_013833:Rax			
mm9	chr18	66198081	66198374		0	chr18-66198081	1	35938	-35938	no	mm9	chr18	66140392	66162289	-	1	NM_027400:Lman1			
mm9	chr18	66198081	66198374		0	chr18-66198081	2	35938	-35938	no	mm9	chr18	66143340	66162289	-	1	NM_001172062:Lman1			
mm9	chr18	66235128	66235390		0	chr18-66235128	1	72970	-72970	no	mm9	chr18	66140392	66162289	-	1	NM_027400:Lman1			
mm9	chr18	66235128	66235390		0	chr18-66235128	2	72970	-72970	no	mm9	chr18	66143340	66162289	-	1	NM_001172062:Lman1			
mm9	chr18	66235128	66235390		0	chr18-66235128	3	216233	216233	yes	mm9	chr18	66216509	66451492	-	1	NM_178793:Ccbe1			
mm9	chr18	66602133	66602305		0	chr18-66602133	1	16038	-16038	no	mm9	chr18	66618257	66625212	+	1	NM_021451:Pmaip1			
mm9	chr18	66608679	66608907		0	chr18-66608679	1	9464	-9464	no	mm9	chr18	66618257	66625212	+	1	NM_021451:Pmaip1			
mm9	chr18	67368414	67368565		0	chr18-67368414	1	3477	3477	no	mm9	chr18	67365012	67367541	+	1	NM_024190:Chmp1b			
mm9	chr18	67368414	67368565		0	chr18-67368414	2	75010	75010	yes	mm9	chr18	67293479	67386445	+	1	NM_010307:Gnal			
mm9	chr18	67368414	67368565		0	chr18-67368414	3	120500	120500	yes	mm9	chr18	67247989	67386445	+	1	NM_177137:Gnal			
mm9	chr18	67808873	67809065		0	chr18-67808873	1	7717	7717	yes	mm9	chr18	67801252	67813816	+	1	NM_134138:Psmg2			
mm9	chr18	67808873	67809065		0	chr18-67808873	2	7979	-7979	no	mm9	chr18	67777050	67800990	-	1	NM_001081073:Cep76			
mm9	chr18	69384662	69384915		0	chr18-69384662														
mm9	chr18	69463474	69463663		0	chr18-69463474	1	40577	-40577	no	mm9	chr18	69504145	69847621	+	1	NM_013685:Tcf4			
mm9	chr18	69463474	69463663		0	chr18-69463474	2	41806	-41806	no	mm9	chr18	69505374	69847621	+	1	NM_001083967:Tcf4			
mm9	chr18	69554740	69554925		0	chr18-69554740	1	49458	49458	yes	mm9	chr18	69505374	69847621	+	1	NM_001083967:Tcf4			
mm9	chr18	69554740	69554925		0	chr18-69554740	2	50687	50687	yes	mm9	chr18	69504145	69847621	+	1	NM_013685:Tcf4			
mm9	chr18	70085457	70085672		0	chr18-70085457	1	352	352	yes	mm9	chr18	70085212	70129138	+	1	NM_201362:Ccdc68			
mm9	chr18	70258178	70258365		0	chr18-70258178	1	42973	42973	yes	mm9	chr18	70138784	70301244	-	1	NM_001082553:Rab27b			
mm9	chr18	70258178	70258365		0	chr18-70258178	2	45248	-45248	no	mm9	chr18	70138784	70213023	-	1	NM_030554:Rab27b			
mm9	chr18	70259621	70259844		0	chr18-70259621	1	41512	41512	yes	mm9	chr18	70138784	70301244	-	1	NM_001082553:Rab27b			
mm9	chr18	70259621	70259844		0	chr18-70259621	2	46709	-46709	no	mm9	chr18	70138784	70213023	-	1	NM_030554:Rab27b			
mm9	chr18	70696291	70696521		0	chr18-70696291	1	6431	-6431	no	mm9	chr18	70668333	70689975	-	1	NM_011972:Poli			
mm9	chr18	70696291	70696521		0	chr18-70696291	2	6614	-6614	no	mm9	chr18	70668333	70689792	-	1	NM_001136090:Poli			
mm9	chr18	73911088	73911295		0	chr18-73911088	1	2942	2942	yes	mm9	chr18	73894691	73914133	-	1	NM_053255:Elac1			
mm9	chr18	73996438	73996651		0	chr18-73996438	1	21498	-21498	no	mm9	chr18	73929693	73975046	-	1	NM_145494:Me2			
mm9	chr18	73996438	73996651		0	chr18-73996438	2	22496	-22496	no	mm9	chr18	74019040	74038788	+	1	NM_027741:Mro			
mm9	chr18	73999361	73999563		0	chr18-73999361	1	19578	-19578	no	mm9	chr18	74019040	74038788	+	1	NM_027741:Mro			
mm9	chr18	73999361	73999563		0	chr18-73999361	2	24416	-24416	no	mm9	chr18	73929693	73975046	-	1	NM_145494:Me2			
mm9	chr18	74546862	74547254		0	chr18-74546862	1	55214	-55214	no	mm9	chr18	74602272	74931131	+	1	NM_201600:Myo5b			
mm9	chr18	74662052	74662271		0	chr18-74662052	1	28617	28617	yes	mm9	chr18	74655331	74690778	-	1	NR_045368:1700120E14Rik			
mm9	chr18	74662052	74662271		0	chr18-74662052	2	59889	59889	yes	mm9	chr18	74602272	74931131	+	1	NM_201600:Myo5b			
mm9	chr18	75053325	75053517		0	chr18-75053325	1	67496	67496	no	mm9	chr18	75098975	75120917	-	1	NM_010720:Lipg			
mm9	chr18	75350772	75350935		0	chr18-75350772	1	172428	172428	yes	mm9	chr18	75178425	75446620	+	1	NM_027727:Dym			
mm9	chr18	75401513	75401698		0	chr18-75401513	1	55366	55366	no	mm9	chr18	75448313	75456971	-	1	NR_045394:2010010A06Rik			
mm9	chr18	75401513	75401698		0	chr18-75401513	2	55378	55378	no	mm9	chr18	75455328	75456983	-	1	NR_045393:2010010A06Rik			
mm9	chr18	75401513	75401698		0	chr18-75401513	3	223180	223180	yes	mm9	chr18	75178425	75446620	+	1	NM_027727:Dym			
mm9	chr18	75529539	75529716		0	chr18-75529539	1	2609	2609	yes	mm9	chr18	75527018	75555588	+	1	NM_001042660:Smad7			
mm9	chr18	75549198	75549396		0	chr18-75549198	1	22279	22279	yes	mm9	chr18	75527018	75555588	+	1	NM_001042660:Smad7			
mm9	chr18	77216757	77216937		0	chr18-77216757	1	33691	33691	no	mm9	chr18	77183156	77210910	+	1	NM_001039201:Hdhd2			
mm9	chr18	77216757	77216937		0	chr18-77216757	2	33994	33994	no	mm9	chr18	77182853	77200792	+	1	NM_001039202:Hdhd2			
mm9	chr18	77216757	77216937		0	chr18-77216757	3	33994	33994	no	mm9	chr18	77182853	77210910	+	1	NM_029826:Hdhd2			
mm9	chr18	77216757	77216937		0	chr18-77216757	4	48082	48082	no	mm9	chr18	77168765	77180353	+	1	NM_025409:Ier3ip1			
mm9	chr18	78841149	78841341		0	chr18-78841149	1	47556	-47556	no	mm9	chr18	78342882	78793689	-	1	NM_207651:Slc14a2			
mm9	chr18	78841149	78841341		0	chr18-78841149	2	47556	-47556	no	mm9	chr18	78379979	78793689	-	1	NM_030683:Slc14a2			
mm9	chr18	78953334	78953494		0	chr18-78953334	1	352716	352716	yes	mm9	chr18	78947116	79306130	-	1	NM_053099:Setbp1			
mm9	chr18	78964951	78965171		0	chr18-78964951	1	341069	341069	yes	mm9	chr18	78947116	79306130	-	1	NM_053099:Setbp1			
mm9	chr18	79223540	79223712		0	chr18-79223540	1	82504	82504	yes	mm9	chr18	78947116	79306130	-	1	NM_053099:Setbp1			
mm9	chr18	79232127	79232326		0	chr18-79232127	1	73904	73904	yes	mm9	chr18	78947116	79306130	-	1	NM_053099:Setbp1			
mm9	chr18	80424025	80424220		0	chr18-80424025	1	19719	19719	no	mm9	chr18	80426494	80443841	-	1	NM_001136181:Hsbp1l1			
mm9	chr18	80424025	80424220		0	chr18-80424025	2	20517	20517	no	mm9	chr18	80403605	80409471	+	1	NM_001042408:Txnl4a			
mm9	chr18	80424025	80424220		0	chr18-80424025	3	20538	20538	no	mm9	chr18	80403584	80409471	+	1	NM_178604:Txnl4a			
mm9	chr18	80424025	80424220		0	chr18-80424025	4	20586	20586	no	mm9	chr18	80403536	80409471	+	1	NM_001038608:Txnl4a			
mm9	chr18	80424025	80424220		0	chr18-80424025	5	20586	20586	no	mm9	chr18	80403536	80422590	+	1	NM_025299:Txnl4a			
mm9	chr18	80424025	80424220		0	chr18-80424025	6	26764	-26764	no	mm9	chr18	80389002	80397358	-	1	NM_199197:Rbfa			
mm9	chr18	80424025	80424220		0	chr18-80424025	7	27861	-27861	no	mm9	chr18	80451983	80489463	+	1	NM_001164420:Pqlc1			
mm9	chr18	80424025	80424220		0	chr18-80424025	8	28842	-28842	no	mm9	chr18	80452964	80471885	+	1	NM_001164424:Pqlc1			
mm9	chr18	80424025	80424220		0	chr18-80424025	9	28842	-28842	no	mm9	chr18	80452964	80489463	+	1	NM_001164422:Pqlc1			
mm9	chr18	80424025	80424220		0	chr18-80424025	10	28922	-28922	no	mm9	chr18	80453044	80471885	+	1	NM_001164423:Pqlc1			
mm9	chr18	80424025	80424220		0	chr18-80424025	11	28922	-28922	no	mm9	chr18	80453044	80489463	+	1	NM_001164421:Pqlc1			
mm9	chr18	80424025	80424220		0	chr18-80424025	12	28922	-28922	no	mm9	chr18	80453044	80489463	+	1	NM_025861:Pqlc1			
mm9	chr18	80821121	80821307		0	chr18-80821121	1	79929	-79929	no	mm9	chr18	80738630	80741285	-	1	NR_028424:Gm2176			
mm9	chr18	80821121	80821307		0	chr18-80821121	2	83698	83698	yes	mm9	chr18	80802943	80904912	-	1	NM_001164112:Nfatc1			
mm9	chr18	80821121	80821307		0	chr18-80821121	3	83698	83698	yes	mm9	chr18	80802943	80904912	-	1	NM_001164111:Nfatc1			
mm9	chr18	80821121	80821307		0	chr18-80821121	4	83698	83698	no	mm9	chr18	80844173	80904912	-	1	NM_016791:Nfatc1			
mm9	chr18	80821121	80821307		0	chr18-80821121	5	88596	88596	yes	mm9	chr18	80802943	80909810	-	1	NM_198429:Nfatc1			
mm9	chr18	80821121	80821307		0	chr18-80821121	6	88596	88596	yes	mm9	chr18	80802943	80909810	-	1	NM_001164110:Nfatc1			
mm9	chr18	80821121	80821307		0	chr18-80821121	7	88596	88596	no	mm9	chr18	80844173	80909810	-	1	NM_001164109:Nfatc1			
mm9	chr18	81401592	81401799		0	chr18-81401592														
mm9	chr18	82681555	82681737		0	chr18-82681555	1	37132	37132	yes	mm9	chr18	82644514	82728095	+	1	NM_001025245:Mbp			
mm9	chr18	82681555	82681737		0	chr18-82681555	2	37132	37132	yes	mm9	chr18	82644514	82755029	+	1	NM_010777:Mbp			
mm9	chr18	82681555	82681737		0	chr18-82681555	3	42208	-42208	no	mm9	chr18	82723854	82755029	+	1	NM_001025259:Mbp			
mm9	chr18	82681555	82681737		0	chr18-82681555	4	42208	-42208	no	mm9	chr18	82723854	82755029	+	1	NM_001025256:Mbp			
mm9	chr18	82681555	82681737		0	chr18-82681555	5	42208	-42208	no	mm9	chr18	82723854	82755029	+	1	NM_001025255:Mbp			
mm9	chr18	82681555	82681737		0	chr18-82681555	6	42208	-42208	no	mm9	chr18	82723854	82755029	+	1	NM_001025251:Mbp			
mm9	chr18	82681555	82681737		0	chr18-82681555	7	42208	-42208	no	mm9	chr18	82723854	82755029	+	1	NM_001025258:Mbp			
mm9	chr18	82681555	82681737		0	chr18-82681555	8	42253	-42253	no	mm9	chr18	82723899	82755029	+	1	NM_001025254:Mbp			
mm9	chr18	84288547	84288736		0	chr18-84288547	1	31092	31092	no	mm9	chr18	84257549	84266906	+	1	NM_146090:Zadh2			
mm9	chr18	84288547	84288736		0	chr18-84288547	2	32687	-32687	no	mm9	chr18	84181018	84255954	-	1	NM_001081300:Tshz1			
mm9	chr18	84923475	84923652		0	chr18-84923475	1	33930	33930	no	mm9	chr18	84889633	84909828	+	1	NM_173770:Fam69c			
mm9	chr18	88921590	88921803		0	chr18-88921590														
mm9	chr18	89096866	89097105		0	chr18-89096866	1	33386	-33386	no	mm9	chr18	89037271	89063599	-	1	NM_018821:Socs6			
mm9	chr18	89096866	89097105		0	chr18-89096866	2	44196	-44196	no	mm9	chr18	89141181	89300406	+	1	NM_175542:Rttn			
mm9	chr19	3297169	3297332		0	chr19-3297169	1	14204	14204	no	mm9	chr19	3283046	3292837	+	1	NM_172252:Mrpl21			
mm9	chr19	3297169	3297332		0	chr19-3297169	2	14240	-14240	no	mm9	chr19	3259075	3283010	-	1	NM_009212:Ighmbp2			
mm9	chr19	3320199	3320380		0	chr19-3320199	1	3011	-3011	no	mm9	chr19	3323300	3385733	+	1	NM_013495:Cpt1a			
mm9	chr19	3643606	3643792		0	chr19-3643606	1	42865	42865	yes	mm9	chr19	3584824	3686564	-	1	NM_008513:Lrp5			
mm9	chr19	3833169	3833336		0	chr19-3833169	1	18520	-18520	no	mm9	chr19	3851772	3867549	+	1	NM_001025566:Chka			
mm9	chr19	3833169	3833336		0	chr19-3833169	2	18520	-18520	no	mm9	chr19	3851772	3894367	+	1	NM_013490:Chka			
mm9	chr19	3913147	3913370		0	chr19-3913147	1	541	-541	no	mm9	chr19	3908869	3912717	-	1	NM_144870:Ndufs8			
mm9	chr19	3970576	3970748		0	chr19-3970576	1	1665	-1665	no	mm9	chr19	3972327	3981665	+	1	NM_001177438:Aldh3b2			
mm9	chr19	4033366	4033540		0	chr19-4033366	1	4459	4459	no	mm9	chr19	4035410	4037912	-	1	NM_013541:Gstp1			
mm9	chr19	4046865	4047087		0	chr19-4046865	1	4755	-4755	no	mm9	chr19	4040287	4042221	-	1	NM_181796:Gstp2			
mm9	chr19	4315466	4315661		0	chr19-4315466	1	9608	-9608	no	mm9	chr19	4286000	4305955	-	1	NM_130863:Adrbk1			
mm9	chr19	4693349	4693515		0	chr19-4693349	1	5236	5236	yes	mm9	chr19	4625840	4698668	-	1	NM_001033447:Gm960			
mm9	chr19	5278445	5278610		0	chr19-5278445	1	5408	-5408	no	mm9	chr19	5133684	5273119	-	1	NM_153129:Pacs1			
mm9	chr19	5278445	5278610		0	chr19-5278445	2	16928	16928	yes	mm9	chr19	5273920	5295455	-	1	NM_030109:Sf3b2			
mm9	chr19	5442445	5442624		0	chr19-5442445	1	5163	-5163	no	mm9	chr19	5447697	5455938	+	1	NM_010235:Fosl1			
mm9	chr19	5614972	5615184		0	chr19-5614972	1	4984	-4984	no	mm9	chr19	5603013	5610094	-	1	NM_178637:Kat5			
mm9	chr19	5614972	5615184		0	chr19-5614972	2	4984	-4984	no	mm9	chr19	5603013	5610094	-	1	NM_001199247:Kat5			
mm9	chr19	5614972	5615184		0	chr19-5614972	3	4984	-4984	no	mm9	chr19	5603013	5610094	-	1	NM_001199248:Kat5			
mm9	chr19	5614972	5615184		0	chr19-5614972	4	4984	-4984	no	mm9	chr19	5605121	5610094	-	1	NM_001199249:Kat5			
mm9	chr19	5614972	5615184		0	chr19-5614972	5	5371	-5371	no	mm9	chr19	5603013	5609707	-	1	NR_037603:Kat5			
mm9	chr19	5846597	5846805		0	chr19-5846597	1	1223	-1223	no	mm9	chr19	5842301	5845478	-	1	NR_003513:Neat1			
mm9	chr19	6126502	6126677		0	chr19-6126502	1	1626	1626	yes	mm9	chr19	6119403	6128215	-	1	NM_026912:Snx15			
mm9	chr19	6477044	6477206		0	chr19-6477044	1	58388	58388	yes	mm9	chr19	6418737	6533217	+	1	NM_020253:Nrxn2			
mm9	chr19	6477044	6477206		0	chr19-6477044	2	58388	58388	yes	mm9	chr19	6418737	6533217	+	1	NM_001205235:Nrxn2			
mm9	chr19	6477044	6477206		0	chr19-6477044	3	58388	58388	yes	mm9	chr19	6418737	6533217	+	1	NM_001205234:Nrxn2			
mm9	chr19	6477044	6477206		0	chr19-6477044	4	65945	65945	no	mm9	chr19	6535855	6543070	-	1	NM_009203:Slc22a12			
mm9	chr19	6477044	6477206		0	chr19-6477044	5	76543	76543	no	mm9	chr19	6400582	6415216	+	1	NM_011242:Rasgrp2			
mm9	chr19	7074507	7074731		0	chr19-7074507	1	3999	3999	no	mm9	chr19	7070620	7073536	+	1	NR_027351:Trpt1			
mm9	chr19	7074507	7074731		0	chr19-7074507	2	3999	3999	no	mm9	chr19	7070620	7073536	+	1	NM_153597:Trpt1			
mm9	chr19	7074507	7074731		0	chr19-7074507	3	4092	-4092	no	mm9	chr19	7067508	7070527	-	1	NM_026675:Nudt22			
mm9	chr19	7074507	7074731		0	chr19-7074507	4	19340	19340	yes	mm9	chr19	7073447	7093959	-	1	NM_153795:Fermt3			
mm9	chr19	7131162	7131394		0	chr19-7131162	1	21	21	yes	mm9	chr19	7131257	7272552	+	1	NM_134147:Macrod1			
mm9	chr19	7682340	7682524		0	chr19-7682340	1	766	-766	no	mm9	chr19	7671150	7681666	-	1	NM_019516:Lgals12			
mm9	chr19	9060497	9060700		0	chr19-9060497	1	3175	-3175	no	mm9	chr19	9063773	9093685	+	1	NM_009643:Ahnak			
mm9	chr19	9060497	9060700		0	chr19-9060497	2	3175	-3175	no	mm9	chr19	9063773	9151409	+	1	NM_001039959:Ahnak			
mm9	chr19	9155939	9156250		0	chr19-9155939	1	6352	6352	no	mm9	chr19	9158131	9162446	-	1	NM_011681:Scgb1a1			
mm9	chr19	9156433	9156646		0	chr19-9156433	1	5907	5907	no	mm9	chr19	9158131	9162446	-	1	NM_011681:Scgb1a1			
mm9	chr19	10140406	10140578		0	chr19-10140406	1	24455	24455	no	mm9	chr19	10116037	10134161	+	1	NM_021890:Fads3			
mm9	chr19	10140406	10140578		0	chr19-10140406	2	35501	35501	yes	mm9	chr19	10138653	10175993	-	1	NM_019699:Fads2			
mm9	chr19	10154615	10154855		0	chr19-10154615	1	21258	21258	yes	mm9	chr19	10138653	10175993	-	1	NM_019699:Fads2			
mm9	chr19	10361139	10361360		0	chr19-10361139	1	18118	18118	yes	mm9	chr19	10319754	10379367	-	1	NM_198114:Dagla			
mm9	chr19	10433628	10433871		0	chr19-10433628	1	29830	-29830	no	mm9	chr19	10463579	10527671	+	1	NM_173068:Syt7			
mm9	chr19	10433628	10433871		0	chr19-10433628	2	29830	-29830	no	mm9	chr19	10463579	10527671	+	1	NM_173067:Syt7			
mm9	chr19	10433628	10433871		0	chr19-10433628	3	29830	-29830	no	mm9	chr19	10463579	10527671	+	1	NM_018801:Syt7			
mm9	chr19	10440740	10440931		0	chr19-10440740	1	22744	-22744	no	mm9	chr19	10463579	10527671	+	1	NM_173068:Syt7			
mm9	chr19	10440740	10440931		0	chr19-10440740	2	22744	-22744	no	mm9	chr19	10463579	10527671	+	1	NM_173067:Syt7			
mm9	chr19	10440740	10440931		0	chr19-10440740	3	22744	-22744	no	mm9	chr19	10463579	10527671	+	1	NM_018801:Syt7			
mm9	chr19	10509484	10509676		0	chr19-10509484	1	22357	22357	no	mm9	chr19	10529860	10531937	-	1	NM_001111140:Lrrc10b			
mm9	chr19	10509484	10509676		0	chr19-10509484	2	46001	46001	yes	mm9	chr19	10463579	10527671	+	1	NM_173068:Syt7			
mm9	chr19	10509484	10509676		0	chr19-10509484	3	46001	46001	yes	mm9	chr19	10463579	10527671	+	1	NM_173067:Syt7			
mm9	chr19	10509484	10509676		0	chr19-10509484	4	46001	46001	yes	mm9	chr19	10463579	10527671	+	1	NM_018801:Syt7			
mm9	chr19	11123948	11124112		0	chr19-11123948	1	1026	1026	yes	mm9	chr19	11122101	11125056	-	1	NM_001177351:AW112010			
mm9	chr19	11124937	11125192		0	chr19-11124937	1	8	-8	yes	mm9	chr19	11122101	11125056	-	1	NM_001177351:AW112010			
mm9	chr19	11130260	11130490		0	chr19-11130260	1	5319	-5319	no	mm9	chr19	11122101	11125056	-	1	NM_001177351:AW112010			
mm9	chr19	11148622	11148788		0	chr19-11148622	1	6888	6888	yes	mm9	chr19	11141960	11155593	-	1	NM_022430:Ms4a8a			
mm9	chr19	11182342	11182631		0	chr19-11182342	1	22882	22882	yes	mm9	chr19	11171305	11205368	-	1	NM_027058:1700017D01Rik			
mm9	chr19	11182342	11182631		0	chr19-11182342	2	26893	-26893	no	mm9	chr19	11141960	11155593	-	1	NM_022430:Ms4a8a			
mm9	chr19	11256646	11256942		0	chr19-11256646	1	14419	14419	yes	mm9	chr19	11243907	11271213	-	1	NM_198224:Ms4a13			
mm9	chr19	11256646	11256942		0	chr19-11256646	2	14512	-14512	no	mm9	chr19	11271306	11374374	+	1	NR_045317:4930526L06Rik			
mm9	chr19	11256646	11256942		0	chr19-11256646	3	16984	-16984	no	mm9	chr19	11214172	11239810	-	1	NM_027074:1700025F22Rik			
mm9	chr19	11309546	11309727		0	chr19-11309546	1	31005	31005	no	mm9	chr19	11325092	11340641	-	1	NM_007641:Ms4a1			
mm9	chr19	11309546	11309727		0	chr19-11309546	2	38330	38330	yes	mm9	chr19	11271306	11374374	+	1	NR_045317:4930526L06Rik			
mm9	chr19	11309546	11309727		0	chr19-11309546	3	38423	-38423	no	mm9	chr19	11243907	11271213	-	1	NM_198224:Ms4a13			
mm9	chr19	12550420	12550605		0	chr19-12550420	1	15244	15244	no	mm9	chr19	12535268	12539775	+	1	NM_010821:Mpeg1			
mm9	chr19	12550420	12550605		0	chr19-12550420	2	25974	25974	yes	mm9	chr19	12540825	12576486	-	1	NM_172442:Dtx4			
mm9	chr19	12562449	12562706		0	chr19-12562449	1	13909	13909	yes	mm9	chr19	12540825	12576486	-	1	NM_172442:Dtx4			
mm9	chr19	12675342	12675520		0	chr19-12675342	1	926	926	yes	mm9	chr19	12674505	12702106	+	1	NM_001013762:Gm4952			
mm9	chr19	12675342	12675520		0	chr19-12675342	2	958	958	yes	mm9	chr19	12674473	12702106	+	1	NM_001167907:Gm4952			
mm9	chr19	12870621	12870843		0	chr19-12870621	1	119	-119	no	mm9	chr19	12838017	12870613	-	1	NR_024093:U05342			
mm9	chr19	12870621	12870843		0	chr19-12870621	2	119	-119	no	mm9	chr19	12841428	12870613	-	1	NM_053009:Zfp91			
mm9	chr19	14600128	14600317		0	chr19-14600128	1	72251	72251	yes	mm9	chr19	14522561	14672473	-	1	NM_011600:Tle4			
mm9	chr19	14671148	14671366		0	chr19-14671148	1	1216	1216	yes	mm9	chr19	14522561	14672473	-	1	NM_011600:Tle4			
mm9	chr19	14760237	14760476		0	chr19-14760237	1	87883	-87883	no	mm9	chr19	14522561	14672473	-	1	NM_011600:Tle4			
mm9	chr19	14814671	14814884		0	chr19-14814671														
mm9	chr19	16071491	16071743		0	chr19-16071491	1	12053	12053	yes	mm9	chr19	16059564	16085402	+	1	NR_045355:C130060C02Rik			
mm9	chr19	16071491	16071743		0	chr19-16071491	2	12138	-12138	no	mm9	chr19	16030262	16059479	-	1	NM_198019:Cep78			
mm9	chr19	16406185	16406375		0	chr19-16406185	1	198960	198960	yes	mm9	chr19	16207320	16461943	+	1	NM_008139:Gnaq			
mm9	chr19	16509446	16509685		0	chr19-16509446	1	591	-591	no	mm9	chr19	16510156	16685308	+	1	NM_008137:Gna14			
mm9	chr19	17398664	17398861		0	chr19-17398664	1	15296	15296	no	mm9	chr19	17400630	17414058	-	1	NM_001136484:Gcnt1			
mm9	chr19	17420759	17420970		0	chr19-17420759	1	6806	-6806	no	mm9	chr19	17400630	17414058	-	1	NM_001136484:Gcnt1			
mm9	chr19	17420759	17420970		0	chr19-17420759	2	10293	10293	yes	mm9	chr19	17400630	17431157	-	1	NM_173442:Gcnt1			
mm9	chr19	17420759	17420970		0	chr19-17420759	3	26470	26470	yes	mm9	chr19	17400630	17447334	-	1	NM_010265:Gcnt1			
mm9	chr19	17467468	17467650		0	chr19-17467468	1	973	-973	no	mm9	chr19	17468532	17475839	+	1	NM_019437:Rfk			
mm9	chr19	17485301	17485508		0	chr19-17485301	1	16872	16872	no	mm9	chr19	17468532	17475839	+	1	NM_019437:Rfk			
mm9	chr19	17564197	17564382		0	chr19-17564197	1	95757	95757	no	mm9	chr19	17468532	17475839	+	1	NM_019437:Rfk			
mm9	chr19	17564197	17564382		0	chr19-17564197	2	347833	347833	yes	mm9	chr19	17507321	17912122	-	1	NM_001190483:Pcsk5			
mm9	chr19	17881318	17881540		0	chr19-17881318	1	30693	30693	yes	mm9	chr19	17507321	17912122	-	1	NM_001190483:Pcsk5			
mm9	chr19	17881318	17881540		0	chr19-17881318	2	30693	30693	yes	mm9	chr19	17632648	17912122	-	1	NM_001163144:Pcsk5			
mm9	chr19	20633582	20633786		0	chr19-20633582	1	6864	-6864	no	mm9	chr19	20609016	20626820	-	1	NR_045778:C730002L08Rik			
mm9	chr19	20728686	20728922		0	chr19-20728686	1	52333	52333	no	mm9	chr19	20676471	20717952	+	1	NM_013467:Aldh1a1			
mm9	chr19	20728686	20728922		0	chr19-20728686	2	73242	73242	no	mm9	chr19	20767442	20802046	-	1	NM_011921:Aldh1a7			
mm9	chr19	21075094	21075280		0	chr19-21075094	1	46495	-46495	no	mm9	chr19	20857947	21028692	-	1	NM_028953:Tmc1			
mm9	chr19	21110056	21110292		0	chr19-21110056	1	81482	-81482	no	mm9	chr19	20857947	21028692	-	1	NM_028953:Tmc1			
mm9	chr19	21126294	21126526		0	chr19-21126294	1	97718	-97718	no	mm9	chr19	20857947	21028692	-	1	NM_028953:Tmc1			
mm9	chr19	21181807	21182051		0	chr19-21181807														
mm9	chr19	21535634	21535863		0	chr19-21535634	1	11403	11403	yes	mm9	chr19	21465796	21547151	-	1	NM_010266:Gda			
mm9	chr19	21551278	21551481		0	chr19-21551278	1	4228	-4228	no	mm9	chr19	21465796	21547151	-	1	NM_010266:Gda			
mm9	chr19	21678493	21678727		0	chr19-21678493	1	48671	48671	yes	mm9	chr19	21671802	21727281	-	1	NM_025423:1110059E24Rik			
mm9	chr19	21678493	21678727		0	chr19-21678493	2	49188	-49188	no	mm9	chr19	21727798	21760127	+	1	NM_146096:Fam108b			
mm9	chr19	21720684	21720867		0	chr19-21720684	1	6506	6506	yes	mm9	chr19	21671802	21727281	-	1	NM_025423:1110059E24Rik			
mm9	chr19	21720684	21720867		0	chr19-21720684	2	7023	-7023	no	mm9	chr19	21727798	21760127	+	1	NM_146096:Fam108b			
